feature,mean_abs_shap_any_success,mean_abs_shap_pass_rate,rank_any_success,rank_pass_rate,rank_delta
patch_lines_deleted,0.4063009888619255,0.0453932601952352,1.0,2.0,-1.0
patch_num_hunks,0.2610125591523923,0.0626987006687844,2.0,1.0,1.0
patch_hunk_gap_mean,0.1957093808474827,0.028758799933456,3.0,3.0,0.0
repo_top_level_dir_count,0.1532486404522479,0.0281539808400337,4.0,4.0,0.0
repo_mean_known_file_size,0.1230294049159682,0.0144335663852002,5.0,7.0,-2.0
repo_total_known_size,0.1025258793979275,0.0133892033674926,6.0,8.0,-2.0
repo_mean_file_depth,0.0913883819191982,0.0100772482816908,7.0,12.0,-5.0
repo_dir_count,0.0859676851508759,0.0184224913874988,8.0,6.0,2.0
patch_lines_added,0.081336616001268,0.0262672954553066,9.0,5.0,4.0
patch_edit_fragmentation,0.0812120442692905,0.0090363951022924,10.0,14.0,-4.0
repo_test_ratio,0.0711577354019528,0.0124283227728806,11.0,9.0,2.0
repo_python_file_count,0.0680404471889439,0.0118622887556578,12.0,10.0,2.0
patch_python_files_changed,0.0676375886165832,0.0117359476968109,13.0,11.0,2.0
repo_file_count,0.067567174797301,0.007844024939264,14.0,19.0,-5.0
repo_basename_collision_count,0.0525235275434798,0.0086645816192676,15.0,16.0,-1.0
prompt_mean_competing_dependents_per_head,0.0505798388006221,0.0063220209576102,16.0,23.0,-7.0
repo_test_file_count,0.0499418856523716,0.0062198091295713,17.0,25.0,-8.0
prompt_pp_density_per_noun,0.0492301660913694,0.007879419160027,18.0,18.0,0.0
prompt_pronouns_per_sentence,0.0477650956540635,0.006037799085043,19.0,26.0,-7.0
prompt_len_bpe,0.0453216750802378,0.00682121319046,20.0,20.0,0.0
prompt_entity_reuse_ratio,0.0439497325869558,0.0083390557640603,21.0,17.0,4.0
prompt_pronoun_candidate_antecedent_density,0.0415770365571123,0.0059666218674832,22.0,27.0,-5.0
prompt_adjacent_lemma_overlap_mean,0.0404015189218746,0.0054422821567426,23.0,31.0,-8.0
prompt_coordination_density,0.0400122642282304,0.0088100927278519,24.0,15.0,9.0
prompt_pp_density_per_clause,0.0396896326507096,0.0064091495945418,25.0,21.0,4.0
prompt_multi_antecedent_pronoun_ratio,0.0393530012408446,0.005095131456033,26.0,34.0,-8.0
prompt_mean_conj_chain_len,0.0372276410725229,0.0049466070581076,27.0,35.0,-8.0
prompt_sent_count,0.0367758388513769,0.0099146147159205,28.0,13.0,15.0
prompt_clausal_branching_factor,0.0360379321054056,0.0057426293943481,29.0,29.0,0.0
prompt_clause_nesting_depth_mean,0.0352766866225398,0.0063474981372063,30.0,22.0,8.0
prompt_verb_coordination_ratio,0.0340244150347227,0.0047064719909043,31.0,38.0,-7.0
patch_primary_file_depth,0.0326467056919486,0.0038494298266001,32.0,41.0,-9.0
prompt_clause_length_mean,0.0325116812822643,0.0048221662926337,33.0,37.0,-4.0
prompt_sentence_embedding_sim_min,0.0305886108519363,0.0054247410222803,34.0,32.0,2.0
prompt_dep_distance_max,0.0290551697325494,0.0051767050275142,35.0,33.0,2.0
repo_max_depth,0.0287318571778644,0.0025234028141589,36.0,43.0,-7.0
prompt_branching_factor_mean,0.025365640216735,0.0059500292632119,37.0,28.0,9.0
prompt_attachment_competition_ratio,0.0236950623550145,0.0040168187169645,38.0,39.0,-1.0
prompt_dep_distance_mean,0.0236020119135894,0.0055727278565161,39.0,30.0,9.0
prompt_sentence_embedding_sim_mean,0.0233606093104301,0.0048227767379611,40.0,36.0,4.0
prompt_multi_pp_head_ratio,0.0221704046235199,0.0038902707246075,41.0,40.0,1.0
repo_has_tests_dir,0.0190528832799172,0.0062321297316076,42.0,24.0,18.0
prompt_noun_coordination_ratio,0.0183614050788511,0.0036827921948724,43.0,42.0,1.0
patch_extensions_changed_count,0.018159608932041,0.0019356957053708,44.0,44.0,0.0
patch_churn_gini_over_files,0.0139317206274914,0.0018716964747069,45.0,45.0,0.0
prompt_mean_pp_chain_depth,0.010978099037945,0.0015673201320658,46.0,46.0,0.0
patch_num_unique_dirs_changed,0.0087754338772007,0.0011335603175838,47.0,50.0,-3.0
patch_src_files_changed,0.0086877916306125,0.0011527946191965,48.0,49.0,-1.0
repo_has_examples_dir,0.0080126714981377,0.0012620743154161,49.0,47.0,2.0
patch_is_single_file,0.0079351800109924,0.0010983765625082,50.0,51.0,-1.0
repo_has_docs_dir,0.0077788300693641,0.0012214215424798,51.0,48.0,3.0
prompt_max_pp_chain_depth,0.0031503119815237,0.000418492192947,52.0,52.0,0.0
prompt_max_conj_chain_len,0.0004438651228789,6.920392791169428e-05,53.0,53.0,0.0
patch_test_files_changed,0.0,0.0,54.0,54.0,0.0
