f1,f2,mean_abs_interaction
patch_num_hunks,repo_top_level_dir_count,0.046672176853922005
patch_lines_deleted,patch_hunk_gap_mean,0.04341056350984252
patch_num_hunks,patch_lines_deleted,0.023785965039662064
patch_num_hunks,patch_lines_added,0.023762960645433467
patch_num_hunks,repo_mean_known_file_size,0.023029638834184397
patch_lines_deleted,repo_top_level_dir_count,0.020333457474249052
patch_num_hunks,repo_total_known_size,0.01957052576720995
patch_num_hunks,patch_hunk_gap_mean,0.01893678929534962
patch_lines_deleted,repo_test_ratio,0.01889457115476064
patch_lines_deleted,repo_mean_file_depth,0.01805924598460749
patch_hunk_gap_mean,patch_lines_added,0.017622843817376867
patch_lines_deleted,patch_lines_added,0.017166234376037162
patch_num_hunks,repo_python_file_count,0.016733201122772594
patch_lines_deleted,repo_mean_known_file_size,0.015429065358533264
patch_lines_deleted,repo_total_known_size,0.015084390619353375
patch_num_hunks,repo_dir_count,0.014569237477736991
patch_num_hunks,repo_mean_file_depth,0.013631174703545157
patch_lines_deleted,repo_dir_count,0.013304610005536904
patch_lines_deleted,patch_edit_fragmentation,0.012822835089283809
repo_top_level_dir_count,repo_mean_file_depth,0.012210717613699492
patch_hunk_gap_mean,repo_mean_known_file_size,0.012063369110492248
patch_lines_deleted,repo_python_file_count,0.011872603914823095
repo_top_level_dir_count,repo_mean_known_file_size,0.011856383636846336
repo_top_level_dir_count,repo_python_file_count,0.011573791765531532
patch_num_hunks,repo_test_ratio,0.01101941002636563
repo_total_known_size,repo_mean_file_depth,0.010858431709096323
repo_top_level_dir_count,patch_lines_added,0.010779064862417318
patch_lines_deleted,repo_basename_collision_count,0.01058266444341487
patch_hunk_gap_mean,repo_python_file_count,0.010554687958757716
repo_top_level_dir_count,repo_test_ratio,0.01049022234984577
repo_top_level_dir_count,repo_total_known_size,0.009864022615301206
repo_mean_known_file_size,patch_edit_fragmentation,0.009859043045397267
patch_num_hunks,patch_edit_fragmentation,0.009718004812016992
repo_top_level_dir_count,repo_file_count,0.00949110931584172
repo_top_level_dir_count,patch_edit_fragmentation,0.009450089632032704
patch_lines_added,repo_test_ratio,0.009433251357487496
patch_num_hunks,repo_file_count,0.00931936730922211
patch_num_hunks,repo_basename_collision_count,0.009271367368037799
patch_hunk_gap_mean,repo_total_known_size,0.009225153323510385
patch_num_hunks,prompt_sent_count,0.008852428762936671
repo_top_level_dir_count,repo_basename_collision_count,0.008833252932825802
repo_mean_known_file_size,repo_python_file_count,0.008526832443877268
patch_num_hunks,prompt_mean_competing_dependents_per_head,0.008518193245843677
repo_top_level_dir_count,repo_dir_count,0.008396665586715289
patch_hunk_gap_mean,repo_test_ratio,0.008213708224091693
patch_lines_deleted,patch_primary_file_depth,0.008201677198258287
repo_total_known_size,repo_dir_count,0.008141717937593631
repo_total_known_size,repo_mean_known_file_size,0.007976001334345355
patch_hunk_gap_mean,repo_top_level_dir_count,0.007904316230116688
repo_dir_count,repo_has_tests_dir,0.007865667324553129
patch_lines_deleted,repo_file_count,0.007837496791270845
patch_hunk_gap_mean,repo_file_count,0.007663022471548184
repo_mean_known_file_size,repo_test_ratio,0.007560230951817868
patch_num_hunks,repo_test_file_count,0.007523199778573646
repo_total_known_size,repo_test_ratio,0.0075002649908101635
patch_lines_added,repo_total_known_size,0.0071116004595537085
patch_lines_added,repo_dir_count,0.007105484243546142
patch_lines_added,repo_basename_collision_count,0.007088014231637897
patch_hunk_gap_mean,repo_basename_collision_count,0.006843751493110997
patch_lines_added,patch_python_files_changed,0.006697145928273672
repo_dir_count,repo_mean_file_depth,0.006654311294112574
patch_num_hunks,patch_python_files_changed,0.00656677689840775
repo_total_known_size,repo_basename_collision_count,0.006469912080505964
repo_mean_known_file_size,repo_mean_file_depth,0.006364986339523661
repo_mean_file_depth,repo_file_count,0.006354873950121624
repo_total_known_size,repo_python_file_count,0.006203746818548208
patch_lines_added,repo_mean_known_file_size,0.00620036582878642
patch_lines_deleted,repo_test_file_count,0.006154367280939117
repo_test_ratio,repo_mean_file_depth,0.006118231502828376
repo_top_level_dir_count,repo_test_file_count,0.005922772430856312
patch_hunk_gap_mean,repo_mean_file_depth,0.005919294262485
patch_lines_added,repo_mean_file_depth,0.00554253082773381
repo_file_count,repo_max_depth,0.0054998950904011305
patch_lines_deleted,prompt_coordination_density,0.005492785263573045
repo_total_known_size,repo_has_tests_dir,0.005483809160396105
patch_lines_added,prompt_entity_reuse_ratio,0.005461801547645921
repo_dir_count,repo_basename_collision_count,0.005391528966593678
patch_hunk_gap_mean,repo_dir_count,0.005279539140821991
patch_lines_added,repo_python_file_count,0.005255564663505025
patch_lines_added,patch_edit_fragmentation,0.005248213789783735
repo_mean_known_file_size,prompt_entity_reuse_ratio,0.005190874679289775
patch_lines_deleted,prompt_pp_density_per_noun,0.005089073195001113
repo_python_file_count,repo_basename_collision_count,0.0050389249234767345
patch_hunk_gap_mean,prompt_sent_count,0.00502184755609832
patch_lines_deleted,prompt_len_bpe,0.004960279195366396
repo_dir_count,repo_file_count,0.004920212297507499
repo_total_known_size,prompt_sent_count,0.004910238670255383
prompt_pronoun_candidate_antecedent_density,prompt_verb_coordination_ratio,0.004804077428420212
prompt_pp_density_per_noun,prompt_branching_factor_mean,0.004785349136700006
patch_hunk_gap_mean,patch_edit_fragmentation,0.004769189786245055
prompt_entity_reuse_ratio,repo_test_file_count,0.0047675724404194365
patch_hunk_gap_mean,repo_test_file_count,0.004764203447864455
patch_num_hunks,prompt_entity_reuse_ratio,0.0047344336595103
prompt_pronouns_per_sentence,prompt_len_bpe,0.0047321643784318124
repo_mean_known_file_size,repo_dir_count,0.0047228739180458475
prompt_len_bpe,prompt_branching_factor_mean,0.004693719386011224
repo_dir_count,repo_python_file_count,0.004590624393545603
patch_lines_deleted,repo_has_tests_dir,0.004579391406787916
patch_lines_deleted,patch_python_files_changed,0.004564478519399196
patch_num_hunks,repo_has_docs_dir,0.004548024350409303
prompt_coordination_density,prompt_attachment_competition_ratio,0.0045459748143828835
repo_top_level_dir_count,prompt_sentence_embedding_sim_min,0.0045392644556090656
prompt_pp_density_per_noun,prompt_pronouns_per_sentence,0.004514477918961909
patch_num_hunks,repo_max_depth,0.004439622347903829
repo_mean_known_file_size,prompt_branching_factor_mean,0.004439126880276619
prompt_pronoun_candidate_antecedent_density,prompt_clause_length_mean,0.004420387275034081
repo_top_level_dir_count,patch_python_files_changed,0.004418340674085168
prompt_entity_reuse_ratio,prompt_dep_distance_max,0.004416446358523752
patch_num_hunks,repo_has_tests_dir,0.0044081555133862905
repo_mean_known_file_size,prompt_sent_count,0.004402780984089993
repo_test_ratio,patch_edit_fragmentation,0.004393623586617176
repo_mean_file_depth,repo_python_file_count,0.0043559566850533745
repo_top_level_dir_count,patch_churn_gini_over_files,0.004352088156427759
repo_mean_known_file_size,prompt_coordination_density,0.004330080440885797
prompt_coordination_density,prompt_clause_length_mean,0.004298420083420732
patch_lines_added,prompt_coordination_density,0.004257661149773897
prompt_pronoun_candidate_antecedent_density,prompt_pp_density_per_clause,0.004226121787876976
patch_lines_deleted,prompt_entity_reuse_ratio,0.004225333743512158
patch_num_hunks,prompt_pronouns_per_sentence,0.004216946281261011
repo_mean_known_file_size,prompt_len_bpe,0.004204049057422007
patch_lines_added,repo_file_count,0.004203442098447876
prompt_clause_nesting_depth_mean,prompt_dep_distance_max,0.004203182651613659
patch_num_hunks,patch_churn_gini_over_files,0.004199051459980261
repo_mean_known_file_size,prompt_adjacent_lemma_overlap_mean,0.004196559981757006
repo_total_known_size,patch_edit_fragmentation,0.0041564492947935155
prompt_dep_distance_max,prompt_dep_distance_mean,0.004135216375470242
repo_test_ratio,repo_basename_collision_count,0.004129616312388996
patch_lines_deleted,prompt_pp_density_per_clause,0.004099830771362461
patch_lines_deleted,prompt_clause_length_mean,0.004090170594087577
repo_test_ratio,prompt_entity_reuse_ratio,0.00408883606893912
repo_total_known_size,prompt_clausal_branching_factor,0.0040854433682620496
repo_test_ratio,repo_has_tests_dir,0.004062359183232261
repo_python_file_count,repo_file_count,0.004056594082354595
repo_top_level_dir_count,prompt_len_bpe,0.004054778537728303
prompt_pronouns_per_sentence,prompt_pronoun_candidate_antecedent_density,0.0040515975582882825
repo_top_level_dir_count,prompt_entity_reuse_ratio,0.00404223945376313
prompt_pronouns_per_sentence,prompt_clausal_branching_factor,0.004033576993581365
patch_lines_deleted,prompt_sent_count,0.003994926825915765
patch_lines_deleted,prompt_verb_coordination_ratio,0.003987509119836835
repo_test_ratio,repo_test_file_count,0.003955139087443385
prompt_sent_count,prompt_pp_density_per_noun,0.003933066386666121
prompt_len_bpe,prompt_adjacent_lemma_overlap_mean,0.003914793663627547
repo_mean_known_file_size,repo_basename_collision_count,0.00391097069544691
prompt_entity_reuse_ratio,prompt_pronouns_per_sentence,0.0038807488227971987
prompt_pronouns_per_sentence,prompt_coordination_density,0.003877687597550301
prompt_pp_density_per_noun,prompt_len_bpe,0.0038697656935466934
prompt_adjacent_lemma_overlap_mean,prompt_sentence_embedding_sim_mean,0.0038681487991992524
prompt_pronoun_candidate_antecedent_density,prompt_multi_antecedent_pronoun_ratio,0.0038586949730858183
prompt_len_bpe,prompt_clause_length_mean,0.0038248442457291436
prompt_clause_length_mean,prompt_dep_distance_max,0.003751096495252791
prompt_pp_density_per_noun,prompt_clausal_branching_factor,0.003735901097878803
prompt_pp_density_per_noun,prompt_pp_density_per_clause,0.003733257584105074
patch_lines_deleted,prompt_pronouns_per_sentence,0.0037265579766360356
patch_lines_deleted,prompt_attachment_competition_ratio,0.003716274973769679
prompt_coordination_density,prompt_dep_distance_max,0.003712869408811665
patch_hunk_gap_mean,prompt_sentence_embedding_sim_min,0.0037028196767375024
repo_total_known_size,prompt_len_bpe,0.003692283356722026
repo_file_count,repo_basename_collision_count,0.0036895279595763725
patch_lines_added,prompt_pronouns_per_sentence,0.0036893345815129223
patch_num_hunks,prompt_sentence_embedding_sim_min,0.003682513595540517
repo_mean_known_file_size,prompt_pronouns_per_sentence,0.0036774442343169927
prompt_pronouns_per_sentence,prompt_pp_density_per_clause,0.003654575351897796
patch_python_files_changed,prompt_multi_pp_head_ratio,0.003641634144210657
patch_lines_added,repo_test_file_count,0.003632109383228557
patch_num_hunks,prompt_branching_factor_mean,0.003626032977722829
patch_hunk_gap_mean,prompt_len_bpe,0.003619790801257072
prompt_entity_reuse_ratio,prompt_adjacent_lemma_overlap_mean,0.0036089928594699255
prompt_entity_reuse_ratio,prompt_coordination_density,0.0035986818163354613
repo_mean_known_file_size,repo_test_file_count,0.00359484268782852
patch_lines_added,prompt_adjacent_lemma_overlap_mean,0.003587335521917674
patch_hunk_gap_mean,prompt_clause_length_mean,0.003574090161489272
repo_test_ratio,repo_python_file_count,0.0035547633853155467
prompt_clause_length_mean,prompt_clausal_branching_factor,0.0035543493763748415
prompt_entity_reuse_ratio,prompt_clause_length_mean,0.003553686765765267
prompt_pronoun_candidate_antecedent_density,prompt_sentence_embedding_sim_mean,0.0035383369150434277
repo_top_level_dir_count,prompt_adjacent_lemma_overlap_mean,0.003527089408553948
prompt_clause_length_mean,prompt_dep_distance_mean,0.003523996942422764
repo_dir_count,repo_test_file_count,0.003523442850256209
repo_test_ratio,prompt_pronouns_per_sentence,0.003518184732565071
patch_num_hunks,prompt_len_bpe,0.0035006019054238235
prompt_coordination_density,prompt_len_bpe,0.003481876175498427
patch_lines_deleted,prompt_branching_factor_mean,0.003481544966976037
patch_lines_deleted,prompt_sentence_embedding_sim_min,0.0034737912028829955
prompt_adjacent_lemma_overlap_mean,prompt_dep_distance_mean,0.00347377844983383
repo_mean_known_file_size,prompt_clausal_branching_factor,0.003440763436498758
repo_mean_known_file_size,prompt_clause_nesting_depth_mean,0.0034361667564659013
patch_lines_added,prompt_mean_conj_chain_len,0.003430465207739671
prompt_len_bpe,prompt_multi_pp_head_ratio,0.00342529028210715
repo_total_known_size,repo_file_count,0.00342399034125996
patch_hunk_gap_mean,repo_has_tests_dir,0.003423527136475516
prompt_mean_competing_dependents_per_head,prompt_attachment_competition_ratio,0.0033959284595983796
prompt_len_bpe,prompt_sentence_embedding_sim_mean,0.003391576802930519
repo_mean_known_file_size,patch_churn_gini_over_files,0.0033879017331919707
prompt_pp_density_per_noun,prompt_pronoun_candidate_antecedent_density,0.003379373507023466
patch_lines_deleted,prompt_clausal_branching_factor,0.003376549832648047
repo_total_known_size,repo_test_file_count,0.0033625829274224537
patch_hunk_gap_mean,prompt_pp_density_per_noun,0.0033547705216306818
prompt_pp_density_per_clause,prompt_branching_factor_mean,0.003354271451872308
patch_hunk_gap_mean,prompt_pronoun_candidate_antecedent_density,0.003350356981153335
patch_num_hunks,patch_primary_file_depth,0.003338467534383787
prompt_pp_density_per_noun,prompt_clause_nesting_depth_mean,0.0033347404208506856
prompt_pronoun_candidate_antecedent_density,prompt_branching_factor_mean,0.003327657503220285
prompt_clause_nesting_depth_mean,prompt_clausal_branching_factor,0.0033197149918869173
prompt_pronoun_candidate_antecedent_density,prompt_coordination_density,0.0033159197034107082
patch_lines_added,prompt_clause_length_mean,0.0033097822704548007
repo_total_known_size,prompt_entity_reuse_ratio,0.0033081381273186205
repo_total_known_size,prompt_coordination_density,0.0033024038905889682
prompt_sent_count,prompt_pronouns_per_sentence,0.003298814502168812
prompt_pronoun_candidate_antecedent_density,prompt_clause_nesting_depth_mean,0.0032923289281004747
prompt_pronouns_per_sentence,prompt_adjacent_lemma_overlap_mean,0.003290103653397056
patch_hunk_gap_mean,prompt_branching_factor_mean,0.00327347941772303
repo_mean_known_file_size,repo_file_count,0.003272429974143095
prompt_pp_density_per_noun,repo_test_file_count,0.0032564339498938263
patch_hunk_gap_mean,prompt_coordination_density,0.0032481150557553593
repo_dir_count,repo_test_ratio,0.003246078300941244
prompt_entity_reuse_ratio,prompt_mean_competing_dependents_per_head,0.0032456617589351907
patch_num_hunks,patch_is_single_file,0.0032446720950546114
prompt_coordination_density,prompt_mean_conj_chain_len,0.003236816675488868
prompt_clausal_branching_factor,prompt_dep_distance_mean,0.003228082707551759
prompt_pronouns_per_sentence,prompt_mean_competing_dependents_per_head,0.0032231294180204294
repo_test_file_count,prompt_clause_length_mean,0.0032224826686169314
prompt_dep_distance_max,prompt_mean_conj_chain_len,0.0032101168990741075
repo_mean_file_depth,prompt_adjacent_lemma_overlap_mean,0.0032059297099930055
prompt_pronoun_candidate_antecedent_density,prompt_clausal_branching_factor,0.003205281729579983
prompt_sent_count,prompt_coordination_density,0.003197130544460636
patch_lines_deleted,prompt_adjacent_lemma_overlap_mean,0.0031940274153940953
prompt_pronoun_candidate_antecedent_density,prompt_attachment_competition_ratio,0.0031873748755949093
prompt_coordination_density,prompt_multi_antecedent_pronoun_ratio,0.003180285213590949
prompt_entity_reuse_ratio,prompt_attachment_competition_ratio,0.0031801594398007337
prompt_entity_reuse_ratio,prompt_pp_density_per_noun,0.0031587007636360047
prompt_pp_density_per_clause,prompt_clause_length_mean,0.003150768395690984
prompt_coordination_density,prompt_mean_competing_dependents_per_head,0.0031506538816077215
repo_total_known_size,prompt_branching_factor_mean,0.0031332587887256303
repo_file_count,prompt_entity_reuse_ratio,0.0031304246098410016
repo_python_file_count,repo_has_tests_dir,0.003125775180628021
repo_mean_known_file_size,prompt_sentence_embedding_sim_min,0.0031231779180216496
repo_total_known_size,prompt_pp_density_per_clause,0.003118439045925109
repo_test_ratio,repo_file_count,0.0031181158844560517
patch_num_hunks,prompt_pp_density_per_noun,0.0031148221895409066
prompt_pronoun_candidate_antecedent_density,prompt_mean_competing_dependents_per_head,0.003108736472355792
prompt_adjacent_lemma_overlap_mean,prompt_verb_coordination_ratio,0.003105665869252392
patch_lines_added,prompt_branching_factor_mean,0.003098350558061978
prompt_adjacent_lemma_overlap_mean,prompt_clause_length_mean,0.0030914403331482273
