feature,mean_abs_shap_any_success,mean_abs_shap_pass_rate,rank_any_success,rank_pass_rate,rank_delta
patch_lines_deleted,0.35000747,0.041258447,1.0,2.0,-1.0
patch_num_hunks,0.27690005,0.07467935,2.0,1.0,1.0
patch_hunk_gap_mean,0.17795882,0.030127574,3.0,4.0,-1.0
repo_top_level_dir_count,0.1767359,0.033686195,4.0,3.0,1.0
repo_mean_known_file_size,0.13066262,0.017770046,5.0,6.0,-1.0
repo_total_known_size,0.10890477,0.01691186,6.0,7.0,-1.0
patch_edit_fragmentation,0.09231488,0.008359616,7.0,19.0,-12.0
patch_lines_added,0.08090978,0.026881933,8.0,5.0,3.0
repo_file_count,0.07792196,0.0109897,9.0,12.0,-3.0
repo_test_file_count,0.070616655,0.0126873525,10.0,8.0,2.0
repo_dir_count,0.070067026,0.01236605,11.0,9.0,2.0
repo_test_ratio,0.069888905,0.012109343,12.0,10.0,2.0
patch_python_files_changed,0.067276716,0.011805124,13.0,11.0,2.0
repo_basename_collision_count,0.065125175,0.009462781,14.0,14.0,0.0
repo_mean_file_depth,0.06333424,0.009433876,15.0,15.0,0.0
repo_python_file_count,0.04658704,0.010010927,16.0,13.0,3.0
prompt_len_bpe,0.045569845,0.0068880315,17.0,20.0,-3.0
repo_max_depth,0.0422138,0.002142643,18.0,36.0,-18.0
prompt_sentence_embedding_sim_min,0.038039416,0.0093692,19.0,16.0,3.0
prompt_coordination_density,0.036460016,0.009023407,20.0,17.0,3.0
prompt_mean_competing_dependents_per_head,0.032987546,0.0026763314,21.0,32.0,-11.0
prompt_pronouns_per_sentence,0.030384626,0.004394779,22.0,24.0,-2.0
prompt_pp_density_per_noun,0.030346865,0.004686493,23.0,23.0,0.0
patch_primary_file_depth,0.028647978,0.004930053,24.0,22.0,2.0
prompt_entity_reuse_ratio,0.025068184,0.0062406035,25.0,21.0,4.0
prompt_sent_count,0.022233728,0.0089301,26.0,18.0,8.0
prompt_mean_conj_chain_len,0.021437377,0.003891282,27.0,25.0,2.0
patch_extensions_changed_count,0.01933272,0.0030691067,28.0,28.0,0.0
prompt_verb_coordination_ratio,0.019262008,0.0028692028,29.0,30.0,-1.0
prompt_multi_antecedent_pronoun_ratio,0.019050347,0.0024335752,30.0,35.0,-5.0
prompt_clausal_branching_factor,0.01523917,0.002530852,31.0,34.0,-3.0
prompt_adjacent_lemma_overlap_mean,0.013944271,0.0026138264,32.0,33.0,-1.0
repo_has_tests_dir,0.013760046,0.0032759823,33.0,26.0,7.0
prompt_clause_length_mean,0.012206533,0.0011797253,34.0,43.0,-9.0
prompt_pp_density_per_clause,0.012144244,0.0029564756,35.0,29.0,6.0
patch_is_single_file,0.011620008,0.00096657244,36.0,47.0,-11.0
prompt_pronoun_candidate_antecedent_density,0.01135356,0.0017781802,37.0,39.0,-2.0
prompt_mean_pp_chain_depth,0.010725288,0.0013071946,38.0,40.0,-2.0
prompt_dep_distance_mean,0.010371575,0.0027635125,39.0,31.0,8.0
patch_src_files_changed,0.010225926,0.0006996043,40.0,50.0,-10.0
patch_churn_gini_over_files,0.009876418,0.0012233801,41.0,41.0,0.0
prompt_branching_factor_mean,0.0091889985,0.003152139,42.0,27.0,15.0
prompt_clause_nesting_depth_mean,0.008980262,0.0018666713,43.0,37.0,6.0
prompt_attachment_competition_ratio,0.0075510046,0.0011875035,44.0,42.0,2.0
prompt_dep_distance_max,0.006251092,0.0017875143,45.0,38.0,7.0
repo_has_docs_dir,0.0061683953,0.0003636705,46.0,52.0,-6.0
prompt_sentence_embedding_sim_mean,0.005764659,0.0011615173,47.0,44.0,3.0
prompt_multi_pp_head_ratio,0.0055433586,0.0011263716,48.0,45.0,3.0
prompt_noun_coordination_ratio,0.0054798364,0.0008457107,49.0,49.0,0.0
patch_num_unique_dirs_changed,0.004961993,0.000990497,50.0,46.0,4.0
repo_has_examples_dir,0.0039281147,0.0009466021,51.0,48.0,3.0
prompt_max_pp_chain_depth,0.0010580694,0.00063201546,52.0,51.0,1.0
prompt_max_conj_chain_len,0.00013926106,7.147609e-05,53.0,53.0,0.0
patch_test_files_changed,0.0,0.0,54.0,54.0,0.0
