feature,VIF
patch_lines_added,inf
patch_num_files_changed,inf
patch_test_files_changed,inf
patch_src_files_changed,inf
patch_lines_changed_total,inf
patch_lines_deleted,inf
patch_mean_file_depth,36.02141910537904
patch_max_file_depth,30.140422860112484
prompt_pronoun_ratio,26.173223935325296
prompt_content_tokens_per_sentence,24.994270298830727
prompt_pronouns_per_sentence,21.656512444946905
patch_entropy_over_files,16.125511288498068
patch_primary_file_depth,16.05789349059462
prompt_clauses_per_sentence,14.548990742150087
patch_is_single_file,13.999128613670202
prompt_coref_chain_len_mean,10.445024998390178
patch_churn_gini_over_files,10.41233139125079
prompt_clausal_branching_factor,10.188798061364485
prompt_len_bpe,8.94465494442013
prompt_entity_reuse_ratio,8.461433678647623
patch_python_files_changed,7.777063103476713
prompt_pp_density_per_clause,7.297813220401987
prompt_clause_nesting_depth_mean,6.00951534784046
repo_file_count,5.6753564275162
patch_num_unique_dirs_changed,5.4192363284754315
repo_mean_file_depth,5.248669243088309
prompt_mean_conj_chain_len,5.23254201145926
repo_max_depth,4.976628273065289
repo_basename_collision_count,4.899853639401904
repo_test_file_count,4.841246591360718
prompt_mean_competing_dependents_per_head,4.622832918872753
prompt_pp_density_per_noun,4.531313052177214
patch_extensions_changed_count,4.437072878763324
prompt_noun_coordination_ratio,4.4055942919343005
prompt_branching_factor_mean,4.247776784800617
prompt_verb_coordination_ratio,4.230604960186273
prompt_sent_count,4.139612260254259
prompt_max_conj_chain_len,4.089159765020115
prompt_clause_length_mean,3.956594352071604
repo_python_file_count,3.815188928623251
prompt_mean_pp_chain_depth,3.7001438072612904
patch_num_hunks,3.5438564592981967
prompt_coordination_density,3.376528592748214
prompt_max_pp_chain_depth,3.215479121435061
prompt_dep_distance_mean,2.862941734863467
repo_total_known_size,2.857945624560453
prompt_attachment_competition_ratio,2.7977454603384015
prompt_dep_distance_max,2.679357921285751
prompt_sentence_embedding_sim_mean,2.554586519080087
patch_edit_fragmentation,2.481958104259537
repo_test_ratio,2.4332973022008293
prompt_pronoun_candidate_antecedent_density,2.404199223869938
repo_dir_count,2.235983509231843
repo_top_level_dir_count,1.9965752766363383
prompt_adjacent_lemma_overlap_mean,1.9499564375471645
repo_mean_known_file_size,1.7873685546026357
repo_has_docs_dir,1.4267659634020153
repo_has_tests_dir,1.397743918308775
prompt_multi_antecedent_pronoun_ratio,1.288226065229374
repo_has_examples_dir,1.247998860222095
prompt_multi_pp_head_ratio,1.2373843419028718
patch_hunk_gap_mean,1.0821042093758446
prompt_sentence_embedding_sim_min,1.0293975373541524
